"Ano","Semestre","Cód. Disciplina","Cód. Turma","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq","Alunos"
"2021","1. Semestre","D320200","10","B888642512642",309,"Curso de Engenharia Sanitária e Ambiental",3,0,12,0,2,0,0,21
"2021","1. Semestre","D320200","10","B888642512642",313,"Curso de Engenharia de Produção",3,0,13,1,0,0,0,38
"2021","1. Semestre","D320200","11","B200380461148",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B292200218320",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B320888200683",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B461200642855",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B512402380642",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","11","B888642512642",312,"Curso de Engenharia de Computação",3,0,12,1,1,0,0,24
"2021","1. Semestre","D320200","12","B200380461148",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B292200218320",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B320888200683",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B461200642855",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B512402380642",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","12","B888642512642",302,"Engenharia Civil",3,0,12,1,0,0,0,38
"2021","1. Semestre","D320200","13","B200380461148",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B292200218320",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B320888200683",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B461200642855",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B512402380642",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","13","B888642512642",303,"Engenharia Elétrica",5,0,12,0,0,0,0,39
"2021","1. Semestre","D320200","14","B200380461148",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
"2021","1. Semestre","D320200","14","B292200218320",304,"Engenharia Mecânica",3,0,13,0,1,0,0,30
