NOME_UNIDADE,SEXO,ANO,PREV_INGRESSANTES,PREV_FORMADOS
Ciência da Computação - Bacharelado,F,2024,4.486494782074903,-1.5534069981581524
Ciência da Computação - Bacharelado,F,2025,4.47268262737877,-2.13075506445648
Ciência da Computação - Bacharelado,F,2026,4.458870472682637,-2.7081031307550347
Ciência da Computação - Bacharelado,F,2027,4.445058317986501,-3.285451197053362
Ciência da Computação - Bacharelado,F,2028,4.431246163290368,-3.8627992633516897
Ciência da Computação - Bacharelado,F,2029,4.417434008594235,-4.440147329650017
Ciência da Computação - Bacharelado,M,2024,38.63535911602209,10.558011049723973
Ciência da Computação - Bacharelado,M,2025,38.621546961325954,9.980662983425646
Ciência da Computação - Bacharelado,M,2026,38.60773480662982,9.40331491712709
Ciência da Computação - Bacharelado,M,2027,38.59392265193369,8.825966850828763
Ciência da Computação - Bacharelado,M,2028,38.580110497237555,8.248618784530436
Ciência da Computação - Bacharelado,M,2029,38.56629834254142,7.671270718232108
