"Ano","Semestre","Cód. Disciplina","Cód. Turma","Alunos","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq"
2023,"2. Semestre","D200888","126",5,"P888683320","126","Física - Licenciatura Plena Noturno",29,0,12,0,0,0,59
2023,"2. Semestre","D200888","50",1,"P380148200","305","Engenharia Química",50,0,50,0,0,0,0
2023,"2. Semestre","D200888","50",1,"P380148200","110","Química Industrial",100,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B461200642855","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B200380461148","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B320888200683","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B512402380642","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B888642512642","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B292200218320","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",4,"B461200642855","309","Curso de Engenharia Sanitária e Ambiental",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",2,"B200380461148","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",2,"B320888200683","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",2,"B512402380642","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",2,"B888642512642","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",2,"B292200218320","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",2,"B461200642855","309","Curso de Engenharia Sanitária e Ambiental",0,0,0,0,2,0,0
2021,"1. Semestre","D320200","10",15,"B200380461148","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",15,"B320888200683","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",15,"B512402380642","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",15,"B888642512642","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",15,"B292200218320","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",15,"B461200642855","309","Curso de Engenharia Sanitária e Ambiental",0,0,12,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B200380461148","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B320888200683","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B512402380642","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B888642512642","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B292200218320","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",6,"B461200642855","313","Curso de Engenharia de Produção",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B200380461148","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B320888200683","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B512402380642","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B888642512642","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",30,"B292200218320","313","Curso de Engenharia de Produção",0,0,13,0,0,0,0
2021,"1. Semestre","D320200","10",2,"B200380461148","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","10",2,"B320888200683","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","10",2,"B512402380642","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","10",2,"B888642512642","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","10",2,"B292200218320","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","10",2,"B461200642855","313","Curso de Engenharia de Produção",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",1,"B461200642855","312","Curso de Engenharia de Computação",0,0,0,1,0,0,0
2021,"1. Semestre","D320200","11",5,"B200380461148","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",5,"B320888200683","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",5,"B512402380642","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",5,"B888642512642","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",5,"B292200218320","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",5,"B461200642855","312","Curso de Engenharia de Computação",3,0,0,0,0,0,0
2021,"1. Semestre","D320200","11",1,"B200380461148","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","11",1,"B320888200683","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","11",1,"B512402380642","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
2021,"1. Semestre","D320200","11",1,"B888642512642","312","Curso de Engenharia de Computação",0,0,0,0,1,0,0
