Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Porcentagem de Aprovado,Porcentagem de Dispensado,Porcentagem de Reprovado,Porcentagem de Tr.Parcial,Porcentagem de Não Concl.,Porcentagem de CancMatric,Porcentagem de Repr.Freq,Alunos
2021,1. Semestre,D320199,50,A218148855402,315.0,Curso de Engenharia Aeroespacial,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0
2021,1. Semestre,D320200,10,B200380461148,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B200380461148,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,10,B292200218320,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B292200218320,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,10,B320888200683,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B320888200683,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,10,B461200642855,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B461200642855,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,10,B512402380642,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B512402380642,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,10,B888642512642,309.0,Curso de Engenharia Sanitária e Ambiental,3.0,0.0,12.0,0.0,2.0,0.0,0.0,21.0
2021,1. Semestre,D320200,10,B888642512642,313.0,Curso de Engenharia de Produção,3.0,0.0,13.0,1.0,0.0,0.0,0.0,38.0
2021,1. Semestre,D320200,11,B200380461148,312.0,Curso de Engenharia de Computação,3.0,0.0,12.0,1.0,1.0,0.0,0.0,24.0
